Date,Price,Open,High,Low,Vol.,Change %
3/17/2023,132.8,131.8,133.4,128.7,3.59M,2.00%
3/16/2023,130.2,125.9,131.5,125.2,3.34M,4.58%
3/15/2023,124.5,130.9,131.8,123.1,3.71M,-3.86%
3/14/2023,129.5,128.3,133.7,127.5,5.45M,2.05%
3/13/2023,126.9,132.1,133,126,4.30M,-3.86%
3/10/2023,132,136.5,138.2,130.3,4.55M,-2.58%
3/9/2023,135.5,136.1,139.6,133.5,6.00M,-4.71%
3/8/2023,142.2,142.2,147.5,142.2,11.95M,-10.00%
3/7/2023,158,157.1,160.3,155.1,1.78M,0.89%
3/6/2023,156.6,153.1,159,153.1,2.39M,2.89%
3/3/2023,152.2,156.2,158.1,149.9,2.07M,-2.81%
3/2/2023,156.6,161.8,162.7,156.6,2.36M,-2.67%
3/1/2023,160.9,164.4,165.2,160,4.00M,-4.68%
2/28/2023,168.8,171.9,174.1,165,2.31M,-1.57%
2/27/2023,171.5,172,174.5,169.4,2.51M,1.48%
2/24/2023,169,166.5,169.7,164.2,1.14M,1.32%
2/23/2023,166.8,162.7,168.2,162.5,1.50M,2.84%
2/22/2023,162.2,158.6,163.5,156.5,1.15M,2.27%
2/21/2023,158.6,161.4,162.7,158.6,1.21M,-1.73%
2/20/2023,161.4,162.9,163.2,158.2,992.79K,0.31%
2/17/2023,160.9,157,161.9,152.2,845.81K,1.32%
2/16/2023,158.8,167.8,174,156.7,1.81M,-1.55%
2/15/2023,161.3,147.5,161.3,147.5,931.44K,19.57%
2/8/2023,134.9,146.7,146.7,134.9,61.16K,-8.04%
2/7/2023,146.7,158.1,161,146.7,1.14M,-10.00%
2/6/2023,163,155.7,163.7,154,557.85K,0.37%
2/3/2023,162.4,152.9,162.7,152,1.43M,7.12%
2/2/2023,151.6,151.5,156.2,139.7,2.12M,0.53%
2/1/2023,150.8,158.5,161.9,150.8,1.41M,-5.16%
1/31/2023,159,157.7,159,152.2,1.35M,0.63%
1/30/2023,158,156.5,159.2,154.4,1.15M,0.96%
1/27/2023,156.5,159.8,159.8,151.3,2.19M,-2.67%
1/26/2023,160.8,160.6,164.9,157.3,1.89M,0.25%
1/25/2023,160.4,162.9,165.3,154.8,2.08M,-0.68%
1/24/2023,161.5,163.6,164.2,156.8,1.91M,-1.28%
1/23/2023,163.6,166,170.4,161,3.42M,-0.91%
1/20/2023,165.1,165.6,169,162.9,2.23M,0.24%
1/19/2023,164.7,165.9,170.2,162.7,2.81M,0.00%
1/18/2023,164.7,159,165.6,156.4,4.27M,4.31%
1/17/2023,157.9,158.2,160.3,155.5,3.18M,0.32%
1/16/2023,157.4,154.3,158,153.4,2.66M,2.08%
1/13/2023,154.2,151.4,158.5,150.9,1.78M,2.25%
1/12/2023,150.8,153.9,156.2,140,4.44M,0.13%
1/11/2023,150.6,159,163.6,149.8,1.59M,-5.22%
1/10/2023,158.9,167.4,167.5,158.9,1.35M,-5.08%
1/9/2023,167.4,175.4,177.8,166.8,1.53M,-4.12%
1/6/2023,174.6,174.5,178,166.9,2.98M,0.46%
1/5/2023,173.8,185,187,170.8,1.46M,-5.85%
1/4/2023,184.6,185.9,189.2,182.1,1.53M,-0.70%
1/3/2023,185.9,193.5,194.5,185.1,1.80M,-3.43%
1/2/2023,192.5,196,197.7,191.6,1.87M,-1.79%
12/30/2022,196,192.9,199.3,186.7,1.93M,2.08%
12/29/2022,192,184.5,194.5,181,2.56M,4.12%
12/28/2022,184.4,185,188.7,180.1,2.39M,-0.97%
12/27/2022,186.2,172.7,188.7,170.4,4.39M,8.51%
12/26/2022,171.6,171.1,174.4,170.1,1.23M,0.76%
12/23/2022,170.3,170.2,172,168.5,897.46K,-0.41%
12/22/2022,171,172.9,173.5,167.7,1.42M,-1.10%
12/21/2022,172.9,170,173.5,168.1,2.01M,2.92%
12/20/2022,168,165.6,169.9,163,1.96M,1.45%
12/19/2022,165.6,161.2,165.6,160.1,2.25M,3.56%
12/16/2022,159.9,157,160.2,152.6,2.32M,2.83%
12/15/2022,155.5,156,159,152.4,2.82M,0.84%
12/14/2022,154.2,165.6,165.6,152,3.16M,-6.94%
12/13/2022,165.7,154.7,167.7,153.9,18.10M,8.66%
12/12/2022,152.5,149.6,155.7,149.5,2.61M,2.35%
12/9/2022,149,147.7,151.1,147,1.67M,0.88%
12/8/2022,147.7,149.6,150.7,145.5,1.86M,-1.47%
12/7/2022,149.9,158.9,159.3,149.8,2.53M,-5.13%
12/6/2022,158,156.5,160.4,155.9,2.89M,0.96%
12/5/2022,156.5,159,160.8,154.4,3.66M,-0.06%
12/2/2022,156.6,156.8,157.3,152.8,1.87M,0.45%
12/1/2022,155.9,157.3,160,154.5,2.41M,-0.32%
11/30/2022,156.4,154.7,157,153,2.43M,1.16%
11/29/2022,154.6,153.8,155.4,150,1.58M,0.91%
11/28/2022,153.2,155,156.9,151.2,1.85M,1.52%
11/25/2022,150.9,152.4,153.9,150,1.18M,-0.59%
11/24/2022,151.8,152.2,155.8,149.3,2.17M,-0.13%
11/23/2022,152,153.8,163.9,148.2,12.49M,-0.52%
11/22/2022,152.8,149,154.1,149,1.26M,3.17%
11/21/2022,148.1,143.5,150.2,142.2,1.73M,4.59%
11/18/2022,141.6,138.1,144.4,136.8,2.05M,2.53%
11/17/2022,138.1,140.8,143.6,133.8,1.82M,-1.85%
