Date,Price,Open,High,Low,Vol.,Change %
3/15/2023,5.53,5.36,5.53,5.1,2.48M,3.36%
3/14/2023,5.35,5.4,5.49,5.18,3.43M,-0.93%
3/13/2023,5.4,5.46,5.66,5.38,5.86M,-0.18%
3/10/2023,5.41,5.21,5.43,5.19,4.75M,3.84%
3/9/2023,5.21,5.19,5.28,5.18,1.85M,0.58%
3/8/2023,5.18,5.21,5.21,5.12,1.78M,-0.77%
3/7/2023,5.22,5.29,5.34,5.15,3.70M,-0.19%
3/6/2023,5.23,4.98,5.24,4.98,4.03M,5.23%
3/3/2023,4.97,4.96,5.04,4.88,2.21M,0.00%
3/2/2023,4.97,5.1,5.12,4.93,1.98M,-2.17%
3/1/2023,5.08,4.97,5.15,4.97,4.62M,2.42%
2/28/2023,4.96,4.96,5.02,4.91,2.46M,0.00%
2/27/2023,4.96,4.89,5.1,4.88,3.55M,2.27%
2/24/2023,4.85,4.65,4.89,4.61,3.10M,4.30%
2/23/2023,4.65,4.6,4.69,4.58,668.76K,1.09%
2/22/2023,4.6,4.74,4.75,4.57,1.08M,-3.16%
2/21/2023,4.75,4.71,4.79,4.67,1.24M,0.85%
2/20/2023,4.71,4.59,4.8,4.59,1.52M,2.61%
2/17/2023,4.59,4.68,4.68,4.55,927.09K,-1.92%
2/16/2023,4.68,4.71,4.82,4.56,2.21M,3.08%
2/15/2023,4.54,4.17,4.54,4.17,815.45K,12.66%
2/8/2023,4.03,4.11,4.11,4,259.52K,-2.42%
2/7/2023,4.13,4.53,4.53,4.13,1.05M,-8.83%
2/6/2023,4.53,4.67,4.73,4.44,772.16K,-3.62%
2/3/2023,4.7,4.55,4.74,4.55,1.59M,3.52%
2/2/2023,4.54,4.57,4.75,4.35,1.87M,-0.66%
2/1/2023,4.57,4.74,4.77,4.57,1.38M,-3.18%
1/31/2023,4.72,4.8,4.86,4.69,1.48M,-1.87%
1/30/2023,4.81,4.75,4.89,4.74,1.99M,1.26%
1/27/2023,4.75,4.82,4.86,4.7,1.67M,-1.04%
1/26/2023,4.8,4.85,4.89,4.77,887.72K,-0.21%
1/25/2023,4.81,4.86,4.95,4.7,1.53M,-1.03%
1/24/2023,4.86,4.88,4.94,4.77,1.65M,-0.21%
1/23/2023,4.87,5.05,5.1,4.87,2.30M,-2.99%
1/20/2023,5.02,4.92,5.05,4.88,2.67M,2.03%
1/19/2023,4.92,4.92,4.97,4.86,1.34M,0.00%
1/18/2023,4.92,4.94,5,4.9,1.43M,0.00%
1/17/2023,4.92,4.89,5.01,4.88,2.22M,0.61%
1/16/2023,4.89,4.77,5.15,4.55,3.12M,3.16%
1/13/2023,4.74,4.7,4.79,4.62,1.55M,1.07%
1/12/2023,4.69,4.6,4.71,4.29,2.79M,3.08%
1/11/2023,4.55,4.73,4.94,4.55,4.40M,-3.60%
1/10/2023,4.72,4.65,4.98,4.56,4.18M,1.51%
1/9/2023,4.65,4.96,4.97,4.6,2.75M,-5.30%
1/6/2023,4.91,4.75,5,4.69,2.31M,2.72%
1/5/2023,4.78,5.13,5.18,4.77,2.89M,-6.82%
1/4/2023,5.13,5.25,5.28,5.11,2.99M,-1.35%
1/3/2023,5.2,5.24,5.33,5.15,4.37M,-0.38%
1/2/2023,5.22,5.16,5.28,5.16,2.63M,1.36%
12/30/2022,5.15,5.16,5.22,5.07,2.44M,0.19%
12/29/2022,5.14,5.11,5.18,5.04,1.39M,1.18%
12/28/2022,5.08,5.12,5.13,5,2.08M,-0.78%
12/27/2022,5.12,5.2,5.21,5.09,1.84M,-1.54%
12/26/2022,5.2,5.2,5.25,5.17,2.42M,0.58%
12/23/2022,5.17,5.18,5.23,5.11,1.77M,-0.19%
12/22/2022,5.18,5.21,5.23,5.16,2.08M,-0.38%
12/21/2022,5.2,5.35,5.35,5.19,2.88M,-0.95%
12/20/2022,5.25,5.37,5.39,5.24,2.60M,-2.05%
12/19/2022,5.36,5.15,5.37,5.1,5.43M,4.48%
12/16/2022,5.13,5.14,5.25,5.11,3.61M,0.00%
12/15/2022,5.13,5.1,5.2,4.99,3.52M,1.38%
12/14/2022,5.06,5.22,5.27,5.05,3.22M,-3.07%
12/13/2022,5.22,5.29,5.31,5.19,3.19M,-1.14%
12/12/2022,5.28,5.22,5.33,5.2,4.19M,1.93%
12/9/2022,5.18,4.99,5.27,4.98,3.67M,4.02%
12/8/2022,4.98,5.1,5.16,4.91,3.20M,-1.97%
12/7/2022,5.08,5.31,5.36,5.05,3.88M,-4.33%
12/6/2022,5.31,5.41,5.66,5.28,5.13M,-1.85%
12/5/2022,5.41,5.14,5.43,5.07,4.87M,5.46%
12/2/2022,5.13,5.2,5.25,5.07,4.09M,-0.77%
12/1/2022,5.17,5.32,5.34,5.16,4.71M,-2.08%
11/30/2022,5.28,5.25,5.49,5.19,13.37M,0.19%
11/29/2022,5.27,5.2,5.29,5.01,7.26M,1.93%
11/28/2022,5.17,4.93,5.19,4.93,5.86M,5.08%
11/25/2022,4.92,4.85,4.98,4.81,5.78M,0.61%
11/24/2022,4.89,4.69,4.94,4.68,9.30M,4.49%
11/23/2022,4.68,4.82,4.82,4.59,8.20M,-1.89%
11/22/2022,4.77,4.51,4.86,4.5,18.12M,6.24%
11/21/2022,4.49,4.37,4.54,4.36,6.09M,2.75%
11/18/2022,4.37,4.31,4.38,4.3,2.76M,1.39%
11/17/2022,4.31,4.43,4.46,4.23,4.22M,-3.36%
11/16/2022,4.46,4.43,4.58,4.4,7.39M,0.90%
11/15/2022,4.42,4.47,4.48,4.36,3.61M,-0.45%
11/14/2022,4.44,4.37,4.47,4.36,3.58M,1.60%
11/11/2022,4.37,4.4,4.45,4.37,3.27M,-0.23%
11/10/2022,4.38,4.37,4.41,4.35,2.66M,0.23%
11/9/2022,4.37,4.42,4.46,4.37,3.39M,-0.91%
11/8/2022,4.41,4.47,4.6,4.38,7.36M,-1.12%
11/7/2022,4.46,4.44,4.5,4.42,4.70M,0.90%
11/4/2022,4.42,4.38,4.46,4.36,3.81M,0.91%
11/3/2022,4.38,4.46,4.56,4.38,6.38M,-0.23%
11/2/2022,4.39,4.5,4.56,4.38,9.05M,-2.88%
11/1/2022,4.52,4.2,4.52,4.2,9.19M,7.62%
10/31/2022,4.2,4.34,4.36,4.14,5.06M,-3.45%
10/28/2022,4.35,4.41,4.43,4.35,1.01M,-1.36%
10/27/2022,4.41,4.41,4.52,4.4,5.77M,0.46%
10/26/2022,4.39,4.31,4.48,4.31,7.89M,2.09%
10/25/2022,4.3,4.43,4.45,4.26,4.38M,-2.49%
10/24/2022,4.41,4.39,4.5,4.33,5.37M,1.38%
10/21/2022,4.35,4.3,4.42,4.27,9.37M,1.87%
10/20/2022,4.27,4.17,4.3,4.16,5.66M,2.40%
10/19/2022,4.17,4.12,4.19,4.11,2.93M,1.21%
10/18/2022,4.12,4.24,4.25,4.07,4.29M,-2.14%
