"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","31.90","33.06","33.92","31.90","49.52M","-2.57%"
"03/16/2023","32.74","32.70","33.08","31.84","27.73M","1.61%"
"03/15/2023","32.22","34.24","34.34","32.02","37.47M","-5.79%"
"03/14/2023","34.20","34.20","35.24","34.10","31.99M","0.29%"
"03/13/2023","34.10","35.50","35.86","33.74","34.97M","-3.01%"
"03/10/2023","35.16","34.14","35.56","33.92","55.00M","4.27%"
"03/09/2023","33.72","33.98","34.50","33.66","37.04M","-0.30%"
"03/08/2023","33.82","32.14","34.10","32.04","49.15M","5.03%"
"03/07/2023","32.20","33.02","33.78","32.20","30.51M","-1.23%"
"03/06/2023","32.60","31.58","32.68","31.44","31.75M","3.95%"
"03/03/2023","31.36","31.78","32.08","30.20","26.03M","-1.51%"
"03/02/2023","31.84","31.84","32.56","31.76","31.85M","0.00%"
"03/01/2023","31.84","32.20","32.46","31.76","26.53M","-0.25%"
"02/28/2023","31.92","32.20","32.50","31.56","29.15M","-0.13%"
"02/27/2023","31.96","31.40","32.08","30.24","41.22M","1.91%"
"02/24/2023","31.36","32.30","32.58","31.36","26.32M","-2.85%"
"02/23/2023","32.28","32.82","33.00","32.06","23.01M","-2.83%"
"02/22/2023","33.22","32.40","33.66","32.30","41.12M","2.53%"
"02/21/2023","32.40","32.90","33.90","32.24","37.22M","-2.59%"
"02/20/2023","33.26","33.80","34.06","32.12","40.30M","-1.60%"
"02/17/2023","33.80","33.50","35.20","33.32","29.93M","-4.25%"
"02/16/2023","35.30","39.76","39.80","35.16","39.22M","-3.92%"
"02/15/2023","36.74","35.00","36.74","35.00","14.32M","18.52%"
"02/08/2023","31.00","33.42","33.46","31.00","1.45M","-7.19%"
"02/07/2023","33.40","36.62","36.62","33.40","21.83M","-9.97%"
"02/06/2023","37.10","35.70","37.20","34.50","7.74M","0.54%"
"02/03/2023","36.90","34.82","37.08","34.22","46.14M","5.97%"
"02/02/2023","34.82","35.00","36.30","33.18","58.66M","0.06%"
"02/01/2023","34.80","36.62","36.72","34.80","49.59M","-4.13%"
"01/31/2023","36.30","37.68","37.86","36.04","61.89M","-4.52%"
"01/30/2023","38.02","38.22","38.86","37.86","39.45M","-0.05%"
"01/27/2023","38.04","38.86","39.32","36.92","48.38M","-2.96%"
"01/26/2023","39.20","40.00","40.76","38.92","59.10M","-1.85%"
"01/25/2023","39.94","40.84","41.00","38.14","59.48M","-1.43%"
"01/24/2023","40.52","39.50","40.64","38.62","62.34M","2.37%"
"01/23/2023","39.58","39.60","41.06","39.04","63.31M","1.12%"
"01/20/2023","39.14","38.40","40.34","38.38","84.97M","4.88%"
"01/19/2023","37.32","37.54","38.12","36.96","41.09M","-0.96%"
"01/18/2023","37.68","37.22","38.54","37.06","66.68M","1.24%"
"01/17/2023","37.22","35.92","38.20","35.66","90.46M","4.37%"
"01/16/2023","35.66","34.20","35.76","33.86","48.11M","5.44%"
"01/13/2023","33.82","34.14","35.36","33.54","62.87M","-0.88%"
"01/12/2023","34.12","34.30","34.66","31.46","84.17M","2.71%"
"01/11/2023","33.22","35.84","36.72","33.22","64.61M","-7.31%"
"01/10/2023","35.84","36.54","37.46","35.08","80.69M","-2.56%"
"01/09/2023","36.78","39.72","39.88","36.14","83.94M","-6.65%"
"01/06/2023","39.40","37.60","40.68","36.14","128.10M","5.01%"
"01/05/2023","37.52","40.60","40.88","37.52","64.53M","-7.36%"
"01/04/2023","40.50","41.94","41.94","40.00","64.00M","-3.43%"
"01/03/2023","41.94","41.90","43.36","40.88","125.71M","4.59%"
"01/02/2023","40.10","38.52","40.90","38.52","124.41M","5.86%"
"12/30/2022","37.88","38.72","39.70","37.74","147.65M","-0.84%"
"12/29/2022","38.20","37.02","39.22","36.52","99.19M","3.24%"
"12/28/2022","37.00","38.94","39.04","36.44","81.82M","-4.19%"
"12/27/2022","38.62","37.40","40.24","37.18","126.76M","3.26%"
"12/26/2022","37.40","37.50","38.08","37.08","58.80M","1.63%"
"12/23/2022","36.80","35.10","36.98","34.94","101.64M","4.84%"
"12/22/2022","35.10","35.20","35.78","34.82","66.51M","0.80%"
"12/21/2022","34.82","35.60","36.48","34.82","87.76M","-1.92%"
"12/20/2022","35.50","35.48","36.00","35.08","64.11M","0.06%"
"12/19/2022","35.48","35.40","36.40","34.86","80.77M","1.20%"
"12/16/2022","35.06","36.18","36.36","34.50","77.20M","-2.72%"
"12/15/2022","36.04","35.50","36.58","34.70","89.86M","5.50%"
"12/14/2022","34.16","35.40","38.22","34.00","110.14M","-2.79%"
"12/13/2022","35.14","35.96","37.14","34.98","71.56M","-1.29%"
"12/12/2022","35.60","32.62","35.60","32.62","83.24M","9.94%"
"12/09/2022","32.38","32.12","32.86","31.94","36.83M","1.70%"
"12/08/2022","31.84","32.56","32.94","31.18","39.96M","-2.51%"
"12/07/2022","32.66","33.94","34.12","32.28","40.07M","-3.49%"
"12/06/2022","33.84","33.60","34.56","33.44","56.08M","1.14%"
"12/05/2022","33.46","33.40","34.14","32.72","65.06M","1.27%"
"12/02/2022","33.04","34.88","34.90","32.60","73.57M","-5.11%"
"12/01/2022","34.82","34.30","35.10","34.18","50.72M","2.77%"
"11/30/2022","33.88","34.20","35.08","33.88","71.26M","-0.94%"
"11/29/2022","34.20","35.34","35.84","33.96","55.03M","-2.56%"
"11/28/2022","35.10","34.70","35.64","34.20","56.98M","1.68%"
"11/25/2022","34.52","34.14","35.38","33.94","70.95M","0.64%"
"11/24/2022","34.30","33.16","35.54","32.96","117.17M","4.26%"
"11/23/2022","32.90","33.02","33.16","32.28","44.35M","0.55%"
"11/22/2022","32.72","32.04","32.76","31.84","45.39M","3.28%"
"11/21/2022","31.68","31.56","31.82","30.88","39.24M","1.15%"
"11/18/2022","31.32","31.20","31.74","30.58","37.36M","1.42%"
"11/17/2022","30.88","31.12","31.84","29.58","57.87M","-0.77%"
"11/16/2022","31.12","31.94","32.34","31.12","71.65M","-2.57%"
"11/15/2022","31.94","33.46","33.86","31.56","67.60M","-3.45%"
"11/14/2022","33.08","32.76","34.10","32.50","70.87M","1.04%"
"11/11/2022","32.74","32.70","34.80","32.46","87.62M","0.99%"
"11/10/2022","32.42","32.12","33.68","31.76","115.67M","0.87%"
"11/09/2022","32.14","29.52","32.34","29.52","146.83M","9.32%"
"11/08/2022","29.40","28.76","29.68","28.28","56.81M","2.30%"
"11/07/2022","28.74","28.50","29.16","28.24","53.11M","1.99%"
"11/04/2022","28.18","27.94","28.30","27.20","70.68M","1.00%"
"11/03/2022","27.90","28.04","28.50","27.38","65.74M","0.00%"
"11/02/2022","27.90","27.06","27.94","26.90","66.53M","3.72%"
"11/01/2022","26.90","25.72","27.80","25.44","94.22M","4.91%"
"10/31/2022","25.64","24.36","25.66","24.06","64.47M","5.78%"
"10/28/2022","24.24","24.96","25.10","24.24","20.05M","-3.27%"
"10/27/2022","25.06","24.96","25.28","24.44","63.73M","1.38%"
"10/26/2022","24.72","25.30","25.48","24.70","44.21M","-2.06%"
"10/25/2022","25.24","26.22","26.72","25.18","65.62M","-3.15%"
"10/24/2022","26.06","25.60","26.38","25.54","58.17M","3.33%"
"10/21/2022","25.22","25.48","25.98","25.02","45.37M","-0.79%"
"10/20/2022","25.42","25.34","26.06","25.06","64.70M","0.32%"
"10/19/2022","25.34","25.92","26.30","25.20","58.44M","-1.78%"
"10/18/2022","25.80","25.26","26.00","24.70","76.94M","3.20%"
"10/17/2022","25.00","23.60","25.24","23.58","75.52M","6.66%"
"10/14/2022","23.44","23.80","24.06","23.38","45.48M","0.34%"
"10/13/2022","23.36","24.00","24.24","23.20","52.10M","-2.26%"
"10/12/2022","23.90","25.08","25.10","23.90","65.92M","-4.93%"
"10/11/2022","25.14","23.46","25.40","23.04","91.36M","7.62%"
"10/10/2022","23.36","23.50","23.86","23.10","53.01M","2.82%"
"10/07/2022","22.72","22.28","22.88","21.86","54.97M","1.88%"
"10/06/2022","22.30","21.78","22.42","21.72","37.82M","3.72%"
